,Street Name,count
221,TROUTMAN STREET,126
222,OGDEN AVENUE,126
223,BREVOORT PLACE,126
224,STRATFORD AVENUE,125
225,STARR STREET,124
226,COMMONWEALTH AVENUE,124
227,64 STREET,124
228,EAST    9 STREET,124
229,WEST  144 STREET,124
230,EAST   10 STREET,124
231,71 STREET,123
232,LONGFELLOW AVENUE,123
233,SUYDAM STREET,123
234,EAST   82 STREET,123
235,20 STREET,123
236,FLATBUSH AVENUE,122
237,WEBB AVENUE,121
238,HUGHES AVENUE,120
239,KINGS HIGHWAY,120
240,EAST   11 STREET,119
241,EAST  172 STREET,119
242,MARION AVENUE,119
243,KELLY STREET,119
244,WEST  172 STREET,119
245,EAST   87 STREET,118
246,SHAKESPEARE AVENUE,118
247,LELAND AVENUE,118
248,MADISON AVENUE,118
249,KOSCIUSZKO STREET,118
250,FAILE STREET,117
251,ELDRIDGE STREET,117
252,KINGSTON AVENUE,117
253,94 STREET,116
254,WEIRFIELD STREET,116
255,AUDUBON AVENUE,115
256,CLINTON STREET,113
257,ST MARKS PLACE,113
258,67 STREET,112
259,LEFFERTS AVENUE,112
260,WEST  119 STREET,112
261,WEST  149 STREET,112
262,BRIGGS AVENUE,111
263,EAST   85 STREET,111
264,VANDERBILT AVENUE,111
265,EAST    2 STREET,111
266,SCHENECTADY AVENUE,110
267,RIVERDALE AVENUE,110
268,HOWARD AVENUE,110
269,WEST   71 STREET,110
270,KINGSLAND AVENUE,109
271,COVERT STREET,109
272,44 STREET,108
273,TROY AVENUE,108
274,WYCKOFF AVENUE,108
275,WEST  146 STREET,108
276,TAYLOR AVENUE,107
277,EAST   90 STREET,107
278,WEST   82 STREET,107
279,VERMILYEA AVENUE,107
280,WEST  145 STREET,107
281,MALCOLM X BOULEVARD,106
282,KINGSBRIDGE TERRACE,106
283,CROES AVENUE,106
284,STATE STREET,106
285,SACKETT STREET,106
286,SEAMAN AVENUE,105
287,WEST   29 STREET,105
288,WEST  152 STREET,104
289,INTERVALE AVENUE,104
290,WEST  150 STREET,104
291,EAST    3 STREET,104
292,WEST  120 STREET,104
293,WEST  106 STREET,104
294,83 STREET,102
295,NEWKIRK AVENUE,102
296,NORFOLK STREET,102
297,WEST  121 STREET,101
298,78 STREET,101
299,62 STREET,101
300,PELHAM PARKWAY SOUTH,101
301,MATTHEWS AVENUE,101
302,WARREN STREET,101
303,LINCOLN ROAD,100
304,WEST   90 STREET,100
305,WADSWORTH AVENUE,100
306,KENT AVENUE,99
307,WEST   22 STREET,99
308,EMPIRE BOULEVARD,99
309,65 PLACE,99
310,TOPPING AVENUE,99
311,EAST   16 STREET,99
312,MARKET STREET,99
313,DEVOE STREET,98
314,HEATH AVENUE,98
315,WEST   48 STREET,97
316,BATHGATE AVENUE,97
317,WEST   87 STREET,97
318,9 STREET,96
319,EAST    6 STREET,96
320,DAVIDSON AVE,96
321,WEST   84 STREET,96
322,63 STREET,96
323,ANDREWS AVENUE,96
324,42 STREET,96
325,MILLER AVENUE,96
326,15 STREET,95
327,HOE AVENUE,95
328,KNICKERBOCKER AVENUE,95
329,FOSTER AVENUE,95
330,10 AVENUE,95
331,84 STREET,95
332,69 STREET,95
333,AVENUE D,94
334,54 STREET,94
335,GRAHAM AVENUE,94
336,ROSEDALE AVENUE,94
337,ESSEX STREET,94
338,EAST 93 STREET,93
339,EAST   93 STREET,93
340,WEST   85 STREET,93
341,WEST  151 STREET,93
342,GEORGE STREET,93
343,58 STREET,93
344,VERMONT STREET,93
345,EDGECOMBE AVENUE,92
346,59 STREET,92
347,WEST   96 STREET,92
348,EAST   92 STREET,92
349,WEST  115 STREET,91
350,BROOME STREET,91
351,MULBERRY STREET,91
352,SEDGEWICK AVENUE,91
353,BRONX BOULEVARD,91
354,ROCKAWAY AVENUE,90
355,65 STREET,90
356,STUYVESANT AVENUE,90
357,CLARKSON AVENUE,90
358,ROCHAMBEAU AVENUE,90
359,JACKSON AVENUE,90
360,ELDER AVENUE,89
361,PENNSYLVANIA AVENUE,89
362,WEST  105 STREET,89
363,WEST   88 STREET,89
364,74 STREET,89
365,50 STREET,89
366,EAST   95 STREET,89
367,SARATOGA AVENUE,89
368,82 STREET,88
369,TELLER AVENUE,88
370,80 STREET,88
371,EAST NEW YORK AVENUE,88
372,WEST  112 STREET,87
373,CONVENT AVENUE,87
374,THOMPSON STREET,87
375,NAGLE AVENUE,86
376,WESTCHESTER AVENUE,86
377,EAST   12 STREET,86
378,WEST   16 STREET,85
379,POPHAM AVENUE,85
380,99 STREET,85
381,4 STREET,85
382,DITMARS BOULEVARD,84
383,SULLIVAN STREET,84
384,COLLEGE POINT BOULEVARD,84
385,SOUTH OXFORD STREET,84
386,146 STREET,84
387,WEST 135 STREET,84
388,16 STREET,83
389,WEST  197 STREET,83
390,EAST    5 STREET,83
391,WEST  118 STREET,83
392,AVENUE C,83
393,11 STREET,83
394,9 AVENUE,82
395,109 AVENUE,82
396,37 AVENUE,82
397,EAST MOSHOLU PARKWAY NORTH,82
398,WEST  138 STREET,82
399,AVENUE B,82
400,5 STREET,82
401,WEST  126 STREET,82
402,CABRINI BOULEVARD,82
403,8 STREET,82
404,85 STREET,82
405,WEST  180 STREET,81
406,75 STREET,81
407,38 AVENUE,81
408,31 AVENUE,81
409,61 STREET,81
410,THROOP AVENUE,81
411,BROOK AVENUE,81
412,57 STREET,81
413,77 STREET,81
414,34 AVENUE,81
415,EAST 78 STREET,81
416,WEST  117 STREET,81
417,SKILLMAN STREET,81
418,70 STREET,81
419,UTICA AVENUE,80
420,BRONX PARK SOUTH,80
421,EAST  169 STREET,80
422,SKILLMAN AVENUE,80
423,EAST    7 STREET,80
424,PINEHURST AVENUE,80
425,CHRISTOPHER STREET,80
426,FTELEY AVENUE,80
427,CLARENDON ROAD,80
428,37 STREET,79
429,WEST   75 STREET,79
430,ST JAMES PLACE,79
431,ARTHUR AVENUE,79
432,SCHAEFER STREET,79
433,31 STREET,79
434,WEST  187 STREET,79
435,EAST  112 STREET,78
436,REMSEN AVENUE,78
437,BARKER AVENUE,78
438,CENTRAL PARK WEST,78
439,NOBLE AVENUE,78
440,EAST   26 STREET,78
441,WEST   10 STREET,78
442,SUTTER AVENUE,78
443,CAULDWELL AVENUE,78
444,MCGUINNESS BOULEVARD,78
445,WEST   83 STREET,77
446,JACKSON STREET,77
447,95 STREET,77
448,BAY RIDGE PARKWAY,77
449,THAYER STREET,77
450,VYSE AVENUE,77
451,39 STREET,77
452,SOUTH    3 STREET,77
453,WEST  162 STREET,76
454,EAST TREMONT AVENUE,76
455,WEST  177 STREET,76
456,DEGRAW STREET,76
457,164 STREET,75
458,EAST   89 STREET,75
459,EAST  167 STREET,75
460,EAST   84 STREET,75
461,UNDERHILL AVENUE,75
462,EAST  109 STREET,75
463,RUTLAND ROAD,75
464,68 STREET,75
465,EAST   13 STREET,75
466,BEVERLY ROAD,74
467,WEST  143 STREET,74
468,MOTT STREET,74
469,EAST   91 STREET,74
470,10 STREET,74
471,45 AVENUE,74
472,EAST  168 STREET,74
473,THIERIOT AVENUE,74
474,ARDEN STREET,73
475,EAST   75 STREET,73
476,WEST  103 STREET,73
477,170 STREET,73
478,52 STREET,73
479,38 STREET,73
480,WAVERLY AVENUE,73
481,56 STREET,73
482,14 STREET,73
483,81 STREET,73
484,BRONXWOOD AVENUE,72
485,MARION STREET,72
486,WEST  160 STREET,72
487,MORRISON AVENUE,72
488,ELLWOOD STREET,72
489,41 AVENUE,72
490,WEST  176 STREET,72
491,FAIRVIEW AVENUE,71
492,EAST  104 STREET,71
493,WEST  140 STREET,71
494,CHURCH AVENUE,71
495,LEWIS AVENUE,71
496,ACADEMY STREET,71
497,135 STREET,71
498,EAST   96 STREET,71
499,WILLIS AVENUE,71
500,111 STREET,70
501,EAST MOSHOLU PARKWAY SOUTH,70
502,WEST   89 STREET,70
503,EAST  161 STREET,70
504,EAST    8 STREET,70
505,BENNETT AVENUE,70
506,55 STREET,70
507,HUMBOLDT STREET,70
508,CATON AVENUE,70
509,WEST  159 STREET,70
510,SOUTH    2 STREET,70
511,EAST 9 STREET,69
512,ANTHONY AVENUE,69
513,EAST  105 STREET,69
